"schemaname","tablename","tableowner","tablespace","hasindexes","hasrules","hastriggers","rowsecurity"
"public","auth_totp_device","openpg",NULL,True,False,True,False
"public","auth_totp_wizard","openpg",NULL,True,False,True,False
"public","base_document_layout","openpg",NULL,True,False,True,False
"public","base_enable_profiling_wizard","openpg",NULL,True,False,True,False
"public","base_import_import","openpg",NULL,True,False,True,False
"public","base_import_mapping","openpg",NULL,True,False,True,False
"public","base_import_tests_models_char","openpg",NULL,True,False,True,False
"public","base_import_tests_models_char_noreadonly","openpg",NULL,True,False,True,False
"public","base_import_tests_models_char_readonly","openpg",NULL,True,False,True,False
"public","base_import_tests_models_char_required","openpg",NULL,True,False,True,False
"public","base_import_tests_models_char_states","openpg",NULL,True,False,True,False
"public","base_import_tests_models_char_stillreadonly","openpg",NULL,True,False,True,False
"public","base_import_tests_models_complex","openpg",NULL,True,False,True,False
"public","base_import_tests_models_float","openpg",NULL,True,False,True,False
"public","base_import_tests_models_m2o","openpg",NULL,True,False,True,False
"public","base_import_tests_models_m2o_related","openpg",NULL,True,False,True,False
"public","base_import_tests_models_m2o_required","openpg",NULL,True,False,True,False
"public","base_import_tests_models_m2o_required_related","openpg",NULL,True,False,True,False
"public","base_import_tests_models_o2m","openpg",NULL,True,False,True,False
"public","base_import_tests_models_o2m_child","openpg",NULL,True,False,True,False
"public","base_import_tests_models_preview","openpg",NULL,True,False,True,False
"public","base_language_export","openpg",NULL,True,False,True,False
"public","base_language_import","openpg",NULL,True,False,True,False
"public","base_language_install","openpg",NULL,True,False,True,False
"public","base_module_uninstall","openpg",NULL,True,False,True,False
"public","base_module_update","openpg",NULL,True,False,True,False
"public","base_module_upgrade","openpg",NULL,True,False,True,False
"public","base_partner_merge_automatic_wizard","openpg",NULL,True,False,True,False
"public","base_partner_merge_automatic_wizard_res_partner_rel","openpg",NULL,True,False,True,False
"public","base_partner_merge_line","openpg",NULL,True,False,True,False
"public","bus_bus","openpg",NULL,True,False,True,False
"public","bus_presence","openpg",NULL,True,False,True,False
"public","change_password_own","openpg",NULL,True,False,True,False
"public","change_password_user","openpg",NULL,True,False,True,False
"public","change_password_wizard","openpg",NULL,True,False,True,False
"public","decimal_precision","openpg",NULL,True,False,True,False
"public","ir_act_client","openpg",NULL,True,False,True,False
"public","ir_act_report_xml","openpg",NULL,True,False,True,False
"public","ir_act_server","openpg",NULL,True,False,True,False
"public","ir_act_server_group_rel","openpg",NULL,True,False,True,False
"public","ir_act_url","openpg",NULL,True,False,True,False
"public","ir_act_window","openpg",NULL,True,False,True,False
"public","ir_act_window_group_rel","openpg",NULL,True,False,True,False
"public","ir_act_window_view","openpg",NULL,True,False,True,False
"public","ir_actions","openpg",NULL,True,False,True,False
"public","ir_actions_todo","openpg",NULL,True,False,True,False
"public","ir_asset","openpg",NULL,True,False,True,False
"public","ir_attachment","openpg",NULL,True,False,True,False
"public","ir_config_parameter","openpg",NULL,True,False,True,False
"public","ir_cron","openpg",NULL,True,False,True,False
"public","ir_cron_trigger","openpg",NULL,True,False,True,False
"public","ir_default","openpg",NULL,True,False,True,False
"public","ir_demo","openpg",NULL,True,False,True,False
"public","ir_demo_failure","openpg",NULL,True,False,True,False
"public","ir_demo_failure_wizard","openpg",NULL,True,False,True,False
"public","ir_exports","openpg",NULL,True,False,True,False
"public","ir_exports_line","openpg",NULL,True,False,True,False
"public","ir_filters","openpg",NULL,True,False,True,False
"public","ir_logging","openpg",NULL,True,False,False,False
"public","ir_mail_server","openpg",NULL,True,False,True,False
"public","ir_model","openpg",NULL,True,False,True,False
"public","ir_model_access","openpg",NULL,True,False,True,False
"public","ir_model_constraint","openpg",NULL,True,False,True,False
"public","ir_model_data","openpg",NULL,True,False,True,False
"public","ir_model_fields","openpg",NULL,True,False,True,False
"public","ir_model_fields_group_rel","openpg",NULL,True,False,True,False
"public","ir_model_fields_selection","openpg",NULL,True,False,True,False
"public","ir_model_relation","openpg",NULL,True,False,True,False
"public","ir_module_category","openpg",NULL,True,False,True,False
"public","ir_module_module","openpg",NULL,True,False,True,False
"public","ir_module_module_dependency","openpg",NULL,True,False,True,False
"public","ir_module_module_exclusion","openpg",NULL,True,False,True,False
"public","ir_profile","openpg",NULL,True,False,False,False
"public","ir_property","openpg",NULL,True,False,True,False
"public","ir_rule","openpg",NULL,True,False,True,False
"public","ir_sequence","openpg",NULL,True,False,True,False
"public","ir_sequence_date_range","openpg",NULL,True,False,True,False
"public","ir_server_object_lines","openpg",NULL,True,False,True,False
"public","ir_ui_menu","openpg",NULL,True,False,True,False
"public","ir_ui_menu_group_rel","openpg",NULL,True,False,True,False
"public","ir_ui_view","openpg",NULL,True,False,True,False
"public","ir_ui_view_custom","openpg",NULL,True,False,True,False
"public","ir_ui_view_group_rel","openpg",NULL,True,False,True,False
"public","rel_modules_langexport","openpg",NULL,True,False,True,False
"public","rel_server_actions","openpg",NULL,True,False,True,False
"public","report_layout","openpg",NULL,True,False,True,False
"public","report_paperformat","openpg",NULL,True,False,True,False
"public","res_bank","openpg",NULL,True,False,True,False
"public","res_company","openpg",NULL,True,False,True,False
"public","res_company_users_rel","openpg",NULL,True,False,True,False
"public","res_config","openpg",NULL,True,False,True,False
"public","res_config_installer","openpg",NULL,True,False,True,False
"public","res_config_settings","openpg",NULL,True,False,True,False
"public","res_country","openpg",NULL,True,False,True,False
"public","res_country_group","openpg",NULL,True,False,True,False
"public","res_country_res_country_group_rel","openpg",NULL,True,False,True,False
"public","res_country_state","openpg",NULL,True,False,True,False
"public","res_currency","openpg",NULL,True,False,True,False
"public","res_currency_rate","openpg",NULL,True,False,True,False
"public","res_groups","openpg",NULL,True,False,True,False
"public","res_groups_implied_rel","openpg",NULL,True,False,True,False
"public","res_groups_report_rel","openpg",NULL,True,False,True,False
"public","res_groups_users_rel","openpg",NULL,True,False,True,False
"public","res_lang","openpg",NULL,True,False,True,False
"public","res_lang_install_rel","openpg",NULL,True,False,True,False
"public","res_partner","openpg",NULL,True,False,True,False
"public","res_partner_bank","openpg",NULL,True,False,True,False
"public","res_partner_category","openpg",NULL,True,False,True,False
"public","res_partner_industry","openpg",NULL,True,False,True,False
"public","res_partner_res_partner_category_rel","openpg",NULL,True,False,True,False
"public","res_partner_title","openpg",NULL,True,False,True,False
"public","res_users","openpg",NULL,True,False,True,False
"public","res_users_apikeys","openpg",NULL,True,False,True,False
"public","res_users_apikeys_description","openpg",NULL,True,False,True,False
"public","res_users_deletion","openpg",NULL,True,False,True,False
"public","res_users_identitycheck","openpg",NULL,True,False,True,False
"public","res_users_log","openpg",NULL,True,False,True,False
"public","reset_view_arch_wizard","openpg",NULL,True,False,True,False
"public","rule_group_rel","openpg",NULL,True,False,True,False
"public","web_editor_converter_test","openpg",NULL,True,False,True,False
"public","web_editor_converter_test_sub","openpg",NULL,True,False,True,False
"public","web_tour_tour","openpg",NULL,True,False,True,False
"public","wizard_ir_model_menu_create","openpg",NULL,True,False,True,False
